Indicator,Disaggregation combinations using this value
#1-3-1,6
#1-3-2,6
#1-3-3,17
#1-4-1,3
#1-4-2,7
#1-4-3,10
#1-4-4,51
#1-4-5,4
#1-4-6,17
#1-4-7,15
#1-a-1,3
#1-a-2,3
#1-a-3,3
#1-b-1,8
#10-1-1,3
#10-2-1,2
#10-4-1,1
#11-1-1,1
#11-4-1,5
#12-5-3,9
#12-6-1,1
#16-1-1,4
#16-1-3,5
#16-1-4,5
#16-2-3,1
#16-3-1,9
#16-3-2,11
#16-3-3,9
#16-3-4,9
#16-3-5,9
#16-3-6,9
#16-4-2,25
#16-5-2,8
#16-6-1,2
#16-9-1,11
#16-a-1,6
#16-b-1,1
#17-1-1,27
#17-19-2,19
#17-3-2,5
#17-8-1,10
#2-2-1,15
#2-2-2,13
#2-2-3,7
#3-1-2,13
#3-2-1,12
#3-3-3,9
#3-7-1,4
#4-1-1,81
#4-1-2,57
#4-1-3,26
#4-1-4,75
#4-1-5,81
#4-2-1,5
#4-4-1,5
#4-4-3,18
#4-5-1,16
#4-a-1,54
#5-1-1,5
#5-1-2,9
#5-1-3,28
#5-5-1,11
#5-5-2,1
#5-6-1,9
#5-6-2,2
#5-b-1,10
#6-1-1,8
#6-1-2,11
#6-1-3,9
#6-2-1,9
#6-2-2,7
#6-b-1,2
#7-1-1,9
#8-2-1,1
#9-1-1,3
#9-c-1,14
