Indicator,Disaggregation combinations using this value
#1-3-1,6
#1-3-2,6
#1-3-3,17
#1-4-1,3
#1-4-2,7
#1-4-3,10
#1-4-4,51
#1-4-5,4
#1-4-6,17
#1-4-7,15
#1-a-1,3
#1-a-2,3
#1-a-3,3
#1-b-1,8
#10-1-1,3
#10-2-1,2
#10-4-1,1
#10-b-1,7
#11-1-1,1
#11-3-2,1
#11-4-1,5
#11-5-1,3
#12-1-1,9
#12-2-1,9
#12-2-2,6
#12-4-3,1
#12-5-3,9
#12-6-1,1
#13-1-1,3
#13-1-2,1
#13-3-2,1
#14-7-1,1
#15-3-1,1
#15-4-1,1
#15-a-1,6
#15-b-1,1
#16-1-1,9
#16-1-3,5
#16-1-4,5
#16-2-3,1
#16-3-1,9
#16-3-2,11
#16-3-3,9
#16-3-4,9
#16-3-5,9
#16-3-6,9
#16-4-2,25
#16-5-1,9
#16-5-2,8
#16-5-3,7
#16-5-5,8
#16-6-1,2
#16-6-4,7
#16-6-5,9
#16-9-1,11
#16-a-1,6
#16-b-1,1
#17-1-1,27
#17-1-2,8
#17-17-1,1
#17-18-1,1
#17-19-1,1
#17-19-2,19
#17-3-1,7
#17-3-2,5
#17-4-1,16
#17-6-1,1
#17-6-2,3
#17-8-1,10
#2-1-1,3
#2-2-1,15
#2-2-2,13
#2-2-3,7
#2-3-1,2
#3-1-1,2
#3-1-2,13
#3-1-3,10
#3-2-1,12
#3-2-2,10
#3-3-1,6
#3-3-2,4
#3-3-3,9
#3-3-4,9
#3-3-5,9
#3-3-6,9
#3-3-7,100
#3-7-1,10
#3-7-2,3
#3-8-1,6
#3-8-2,9
#3-8-3,3
#3-8-4,5
#3-a-1,3
#3-b-2,4
#3-c-1,10
#4-1-1,82
#4-2-1,5
#4-4-1,5
#4-4-3,18
#4-5-1,16
#5-1-1,5
#5-1-2,9
#5-1-3,28
#5-5-1,11
#5-5-2,1
#5-6-1,9
#5-6-2,2
#5-b-1,10
#6-1-1,8
#6-1-2,11
#6-1-3,9
#6-2-1,9
#6-2-2,7
#6-a-1,5
#6-b-1,2
#7-1-1,9
#7-1-2,1
#7-1-3,9
#7-1-4,9
#7-1-5,9
#8-1-1,5
#8-2-1,1
#8-a-1,7
#9-1-1,3
#9-a-1,7
#9-c-1,14
