Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SH_STA_STUNT,BI,F,_T,_T,_T,PT,0,N,2010,53.1
2017,SH_STA_STUNT,BI,F,_T,_T,_T,PT,0,N,2017,53.4
2018,SH_STA_STUNT,BI,F,_T,_T,_T,PT,0,N,2018,52.4
2010,SH_STA_STUNT,BI,M,_T,_T,_T,PT,0,N,2010,62.1
2017,SH_STA_STUNT,BI,M,_T,_T,_T,PT,0,N,2017,60.6
2018,SH_STA_STUNT,BI,M,_T,_T,_T,PT,0,N,2018,59.4
2010,SH_STA_STUNT,BI,_T,_T,_T,_T,PT,0,N,2010,58.0
2017,SH_STA_STUNT,BI,_T,_T,_T,_T,PT,0,N,2017,57.0
2018,SH_STA_STUNT,BI,_T,_T,_T,_T,PT,0,N,2018,56.0
2010,SH_STA_STUNT,BI,_T,M6T11,_T,_T,PT,0,N,2010,34.9
2017,SH_STA_STUNT,BI,_T,M6T11,_T,_T,PT,0,N,2017,37.9
2010,SH_STA_STUNT,BI,_T,M12T23,_T,_T,PT,0,N,2010,61.1
2017,SH_STA_STUNT,BI,_T,M12T23,_T,_T,PT,0,N,2017,60.7
2010,SH_STA_STUNT,BI,_T,M24T59,_T,_T,PT,0,N,2010,64.9
2017,SH_STA_STUNT,BI,_T,M24T59,_T,_T,PT,0,N,2017,61.4
