Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2010,40.0
2011,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2011,48.0
2012,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2012,55.0
2013,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2013,64.0
2014,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2014,68.0
2015,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2015,80.0
2016,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2016,83.9
2017,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2017,97.0
2018,D29,BI,_T,_T,_T,_T,NUMBER,0,N,2018,97.0
2010,D30,BI,F,_T,_T,_T,NUMBER,0,N,2010,2.0
2011,D30,BI,F,_T,_T,_T,NUMBER,0,N,2011,208.0
2012,D30,BI,F,_T,_T,_T,NUMBER,0,N,2012,0.0
2013,D30,BI,F,_T,_T,_T,NUMBER,0,N,2013,51.0
2014,D30,BI,F,_T,_T,_T,NUMBER,0,N,2014,143.0
2015,D30,BI,F,_T,_T,_T,NUMBER,0,N,2015,134.0
2016,D30,BI,F,_T,_T,_T,NUMBER,0,N,2016,114.0
2017,D30,BI,F,_T,_T,_T,NUMBER,0,N,2017,100.0
2018,D30,BI,F,_T,_T,_T,NUMBER,0,N,2018,63.0
2010,D30,BI,M,_T,_T,_T,NUMBER,0,N,2010,3.0
2011,D30,BI,M,_T,_T,_T,NUMBER,0,N,2011,232.0
2012,D30,BI,M,_T,_T,_T,NUMBER,0,N,2012,0.0
2013,D30,BI,M,_T,_T,_T,NUMBER,0,N,2013,80.0
2014,D30,BI,M,_T,_T,_T,NUMBER,0,N,2014,127.0
2015,D30,BI,M,_T,_T,_T,NUMBER,0,N,2015,128.0
2016,D30,BI,M,_T,_T,_T,NUMBER,0,N,2016,120.0
2017,D30,BI,M,_T,_T,_T,NUMBER,0,N,2017,127.0
2018,D30,BI,M,_T,_T,_T,NUMBER,0,N,2018,79.0
2010,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2010,5.0
2011,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2011,440.0
2012,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2012,0.0
2013,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2013,131.0
2014,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2014,270.0
2015,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2015,262.0
2016,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2016,234.0
2017,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2017,227.0
2018,D30,BI,_T,_T,_T,_T,NUMBER,0,N,2018,142.0
2011,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2011,92970.0
2012,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2012,117386.0
2013,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2013,161895.0
2014,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2014,172284.0
2015,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2015,176233.0
2016,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2016,266949.0
2017,D31,BI,F,Y1T14,_T,_T,NUMBER,0,N,2017,166313.0
