Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SH_MED_HEAWOR1,BI,_T,_T,_T,_T,NUMBER,0,N,2010,22634.0
2012,SH_MED_HEAWOR1,BI,_T,_T,_T,_T,NUMBER,0,N,2012,18208.0
2017,SH_MED_HEAWOR1,BI,_T,_T,_T,_T,NUMBER,0,N,2017,17768.0
2018,SH_MED_HEAWOR1,BI,_T,_T,_T,_T,NUMBER,0,N,2018,18208.0
2010,SH_MED_HEAWOR2,BI,_T,_T,_T,_T,NUMBER,0,N,2010,1586.0
2012,SH_MED_HEAWOR2,BI,_T,_T,_T,_T,NUMBER,0,N,2012,1395.0
2017,SH_MED_HEAWOR2,BI,_T,_T,_T,_T,NUMBER,0,N,2017,1568.0
2018,SH_MED_HEAWOR2,BI,_T,_T,_T,_T,NUMBER,0,N,2018,1395.0
2010,SH_MED_HEAWOR3,BI,_T,_T,_T,_T,NUMBER,0,N,2010,14119.0
2017,SH_MED_HEAWOR3,BI,_T,_T,_T,_T,NUMBER,0,N,2017,22080.0
