Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2010,48.0
2011,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2011,53.1
2012,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2012,60.7
2013,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2013,75.3
2014,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2014,68.9
2015,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2015,64.3
2016,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2016,67.0
2017,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2017,67.0
2018,D52,BI,F,_T,_T,ISCED11_1,PT,0,N,2018,56.8
2010,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2010,12.5
2011,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2011,13.7
2012,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2012,14.3
2013,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2013,18.3
2014,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2014,20.8
2015,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2015,20.9
2016,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2016,34.0
2017,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2017,40.9
2018,D52,BI,F,_T,_T,ISCED11_2,PT,0,N,2018,31.1
2010,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2010,3.7
2011,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2011,5.1
2012,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2012,4.4
2013,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2013,6.0
2014,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2014,7.5
2015,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2015,12.9
2016,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2016,15.2
2017,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2017,13.3
2018,D52,BI,F,_T,_T,ISCED11_3,PT,0,N,2018,24.8
2010,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2010,48.8
2011,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2011,51.7
2012,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2012,56.5
2013,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2013,56.4
2014,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2014,59.1
2015,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2015,54.4
2016,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2016,58.4
2017,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2017,57.2
2018,D52,BI,M,_T,_T,ISCED11_1,PT,0,N,2018,48.2
2010,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2010,18.9
2011,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2011,20.0
2012,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2012,20.9
2013,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2013,24.1
2014,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2014,26.4
2015,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2015,33.4
2016,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2016,35.6
2017,D52,BI,M,_T,_T,ISCED11_2,PT,0,N,2017,35.8
