Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2010,0.99
2011,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2011,1.0
2012,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2012,1.01
2013,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2013,1.02
2014,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2014,1.03
2015,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2015,1.02
2016,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2016,1.02
2017,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2017,1.03
2018,D48,BI,_T,_T,_T,ISCED11_1,PT,0,N,2018,1.0
2010,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2010,0.76
2011,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2011,0.78
2012,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2012,0.83
2013,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2013,0.88
2014,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2014,0.94
2015,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2015,1.02
2016,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2016,1.08
2017,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2017,0.83
2018,D48,BI,_T,_T,_T,ISCED11_2,PT,0,N,2018,1.25
2010,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2010,0.6
2011,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2011,0.61
2012,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2012,0.59
2013,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2013,0.62
2014,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2014,0.67
2015,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2015,0.73
2016,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2016,0.8
2017,D48,BI,_T,_T,_T,ISCED11_3,PT,0,N,2017,1.21
